GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",2326,276,239,110,101,71,0,14,0,14,0,14,0,14,0,14,101,71,24,38,0,14,24,38,0,14,0,14,77,62,22,36,33,53,0,14,22,36,138,94,26,42,26,42,0,14,0,14,0,14,112,81,68,62,0,14,0,14,44,49,2087,291,1124,269,956,278,0,14,452,223,353,136,151,106,168,119,109,104,0,14,66,75,43,66,0,14,59,67,0,14,33,52,26,41,0,14,963,224,388,181,0,14,127,140,80,75,181,103,575,178,38,49,94,68,164,116,279,104
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",360,109,22,35,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,35,0,10,0,10,0,10,0,10,0,10,22,35,0,10,0,10,0,10,22,35,338,111,244,107,244,107,0,10,96,105,110,63,38,33,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,94,73,44,37,0,10,0,10,27,42,17,27,50,56,0,10,0,10,50,56,0,10
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1704,256,182,130,22,22,14,19,9,17,5,10,0,10,0,10,8,11,0,10,0,10,0,10,0,10,0,10,8,11,0,10,6,10,2,3,0,10,160,129,12,23,0,10,12,23,0,10,0,10,148,126,79,111,53,80,0,10,16,20,1522,254,1286,263,911,256,0,10,338,184,399,168,174,133,375,195,85,95,0,10,47,64,38,52,0,10,290,169,42,67,131,102,95,100,22,35,236,102,112,109,0,10,77,105,33,37,2,4,124,77,2,4,0,10,81,62,41,44
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,480,139,329,119,307,117,0,10,163,104,113,67,31,50,22,36,0,10,0,10,0,10,0,10,0,10,22,36,0,10,0,10,22,36,0,10,151,109,131,104,0,10,0,10,33,52,98,91,20,32,0,10,0,10,0,10,20,32
1500000US300630003001,300630003001,"Block Group 1, Census Tract 3, Missoula County, Montana",597,126,231,98,16,20,8,13,0,10,8,13,0,10,0,10,8,15,0,10,0,10,0,10,0,10,0,10,8,15,0,10,0,10,8,15,0,10,215,97,131,82,66,65,65,50,0,10,0,10,84,55,50,49,21,24,13,19,0,10,366,117,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,366,117,236,90,48,49,99,56,56,54,33,27,130,85,40,63,37,31,43,42,10,15
1500000US300630003002,300630003002,"Block Group 2, Census Tract 3, Missoula County, Montana",657,112,196,84,10,14,0,10,0,10,0,10,0,10,0,10,10,14,10,14,5,9,0,10,5,11,0,10,0,10,0,10,0,10,0,10,0,10,186,81,149,81,10,15,65,61,59,51,15,17,37,30,28,26,0,10,0,10,9,16,461,108,147,84,42,30,0,10,0,10,35,28,7,11,105,82,53,59,0,10,0,10,53,59,0,10,52,51,31,49,13,7,8,13,0,10,314,75,127,58,17,19,43,33,34,31,33,26,187,66,20,21,39,38,9,15,119,49
1500000US300630004001,300630004001,"Block Group 1, Census Tract 4, Missoula County, Montana",540,84,166,74,44,45,0,10,0,10,0,10,0,10,0,10,44,45,25,39,0,10,25,39,0,10,0,10,19,24,12,21,0,10,7,11,0,10,122,69,90,71,49,54,9,15,32,49,0,10,32,40,0,10,0,10,32,40,0,10,374,78,212,76,106,55,0,10,36,31,56,33,14,17,106,69,53,50,0,10,34,43,19,28,0,10,53,44,0,10,0,10,43,42,10,15,162,79,134,74,28,47,81,42,25,32,0,10,28,26,0,10,10,18,7,11,11,16
1500000US300630004002,300630004002,"Block Group 2, Census Tract 4, Missoula County, Montana",306,67,10,17,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,17,10,17,0,10,0,10,10,17,0,10,0,10,0,10,0,10,0,10,0,10,296,68,247,61,196,59,0,10,63,38,61,33,72,30,51,30,21,23,0,10,21,23,0,10,0,10,30,21,8,13,8,14,14,16,0,10,49,30,28,23,0,10,19,22,9,9,0,10,21,19,0,10,16,16,5,8,0,10
1500000US300630004003,300630004003,"Block Group 3, Census Tract 4, Missoula County, Montana",296,73,28,21,11,16,11,16,0,10,0,10,0,10,11,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,17,20,17,20,0,10,17,20,0,10,0,10,0,10,0,10,0,10,0,10,0,10,268,74,158,68,148,65,0,10,19,18,63,36,66,54,10,17,3,9,0,10,3,9,0,10,0,10,7,11,0,10,0,10,7,11,0,10,110,58,52,47,0,10,31,42,11,17,10,15,58,35,0,10,7,11,27,24,24,23
1500000US300630005001,300630005001,"Block Group 1, Census Tract 5, Missoula County, Montana",676,140,262,106,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,262,106,128,71,52,49,63,46,0,10,13,21,134,86,106,85,13,21,15,24,0,10,414,123,149,73,149,73,20,33,18,32,75,49,36,32,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,265,114,184,95,62,85,44,47,45,50,33,26,81,66,58,61,0,10,0,10,23,26
1500000US300630005002,300630005002,"Block Group 2, Census Tract 5, Missoula County, Montana",233,84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,233,84,183,67,171,72,0,10,38,44,63,49,70,75,12,19,12,19,0,10,0,10,0,10,12,19,0,10,0,10,0,10,0,10,0,10,50,61,12,19,0,10,0,10,0,10,12,19,38,58,0,10,38,58,0,10,0,10
1500000US300630005003,300630005003,"Block Group 3, Census Tract 5, Missoula County, Montana",483,128,82,69,34,49,0,10,0,10,0,10,0,10,0,10,34,49,0,10,0,10,0,10,0,10,0,10,34,49,0,10,34,49,0,10,0,10,48,51,26,34,18,30,0,10,8,16,0,10,22,37,22,37,0,10,0,10,0,10,401,137,243,111,226,107,0,10,117,93,57,42,52,38,17,28,0,10,0,10,0,10,0,10,0,10,17,28,17,28,0,10,0,10,0,10,158,86,112,94,50,81,30,38,19,23,13,20,46,43,0,10,0,10,34,38,12,19
1500000US300630005004,300630005004,"Block Group 4, Census Tract 5, Missoula County, Montana",862,173,234,103,80,55,0,10,0,10,0,10,0,10,0,10,80,55,0,10,0,10,0,10,0,10,0,10,80,55,52,41,28,41,0,10,0,10,154,87,96,78,50,39,46,71,0,10,0,10,58,39,58,39,0,10,0,10,0,10,628,167,228,98,206,97,0,10,73,70,55,40,78,70,22,28,11,18,0,10,11,18,0,10,0,10,11,22,0,10,11,22,0,10,0,10,400,152,298,132,50,47,181,109,67,77,0,10,102,81,13,21,43,63,32,35,14,27
1500000US300630007001,300630007001,"Block Group 1, Census Tract 7, Missoula County, Montana",355,92,87,54,59,43,11,17,0,10,0,10,11,17,0,10,48,48,0,10,0,10,0,10,0,10,0,10,48,48,0,10,41,46,7,11,0,10,28,26,10,16,10,16,0,10,0,10,0,10,18,20,0,10,0,10,18,20,0,10,268,81,72,44,65,44,0,10,22,26,33,35,10,14,7,11,7,11,0,10,0,10,0,10,7,11,0,10,0,10,0,10,0,10,0,10,196,76,161,76,10,16,51,57,92,54,8,14,35,28,0,10,9,14,0,10,26,24
1500000US300630007002,300630007002,"Block Group 2, Census Tract 7, Missoula County, Montana",443,94,123,89,8,12,0,10,0,10,0,10,0,10,0,10,8,12,8,12,0,10,8,12,0,10,0,10,0,10,0,10,0,10,0,10,0,10,115,89,81,85,10,16,63,82,0,10,8,15,34,28,9,14,16,19,9,15,0,10,320,71,127,54,90,50,0,10,23,26,46,31,21,33,37,34,0,10,0,10,0,10,0,10,0,10,37,34,0,10,37,34,0,10,0,10,193,59,87,38,6,11,37,29,44,31,0,10,106,47,5,9,78,43,13,15,10,16
